ZONA,NOMBRE,DIRECCION,TELEFONO,IMAGEN_SUCURSAL,AREA_INTERNA,REGION_OPERATIVA,USO_DESTINO,METROS_CUADRADOS
SUR,"CDD Lomas De Zamora","Alem 300",,https://maps.app.goo.gl/KCG99jxcE2M8j8UUA,Z7,Metro,"Sucursal",155
SUR,"CDD Lanús","Vélez Sarsfield Nº 1371",4247-9747,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=u2rvdN9oA1JQ0iEhtNeXOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.91458&pitch=0&thumbfov=100,A3,Metro,"CDD / Jef. De ÁREA",699
SUR,"CDD Florencio Varela","Av. San Martín Nº 3041/45",4255-0231/6828 4287-3712,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X1i7UwfrOV1rSKVgTxNIHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.05553&pitch=0&thumbfov=100,A3,Metro,"CDD",280
SUR,"CDD Ezeiza","French N° 198",2327208,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ML8pmZyj6X2hFuJ9eZzDoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=231.9788&pitch=0&thumbfov=100,A4,Metro,"CDD",157
SUR,"CDD Claypole","Remedios De Escalada Nº 723",4219-0667,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=koYFY6ocy62e4r54iF325Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=87.62024&pitch=0&thumbfov=100,A3,Metro,"CDD",168
SUR,"CDD Bernal","Av. De Los Quilmes Nº 1938",4252-3271,https://lh5.googleusercontent.com/p/AF1QipOYs6ubhzqN3MBReuqmHhpB3Bt0RrpJ1Pv6nrxl=w426-h240-k-no,A3,Metro,"CDD",200
SUR,"CDD Berazategui","Rigolleau Nº 4457",4226-5120/5140,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeMpiJHHDELBHFftisdwWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.52043&pitch=0&thumbfov=100,A3,Metro,"CDD",407
SUR,"CDD Banfield","Av. Alsina Nº 658",4248-7975,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QD2BBh2FQgqtT6IZfDC5DA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.87666&pitch=0&thumbfov=100,Z7,Metro,"Sucursal",214
SUR,"CDD Avellaneda","Belgrano Nº 390",4201-8782/4222-1803,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3T2e606HpSxq3XihZOis2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.775326&pitch=0&thumbfov=100,A3,Metro,"CDD",250
SUR,"CDD Almirante Brown","Francisco Seguí 880, B1846DSR Adrogué, Provincia de Buenos Aires",4294-9159/9574,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M6opLuRCUY057Z-r9yCY6A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.07584&pitch=0&thumbfov=100,,,"",
SUR,"Burzaco","Julio A. Roca Nº 983",15-63726416,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GJZ7Zox_SzI-lWh_1dQtdg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=208.13156&pitch=0&thumbfov=100,Z7,Metro,"Sucursal",120
SUR,"Bernal","Av. De Los Quilmes Nº 1938",4251-4835,SUC_Images/200.IMAGEN.014315.png,A3,Metro,"CDD",200
SUR,"Berazategui","Rigolleau Nº 4457",4256-1585,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SyQWy4xf0DQqF7MgajniBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=146.02576&pitch=0&thumbfov=100,A3,Metro,"CDD",407
SUR,"Banfield","Av. Alsina Nº 658",4202-4897,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FUYCczLpnSPTTo-rj6j4yg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=96.41717&pitch=0&thumbfov=100,Z7,Metro,"Sucursal",214
SUR,"Avellaneda","Belgrano Nº 390",4201-0083,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3T2e606HpSxq3XihZOis2A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=49.775326&pitch=0&thumbfov=100,A3,Metro,"CDD",250
SUR,"Agencia Tribunales de Banfield","Alberto Larroque 2450, B1828 Banfield, Provincia de Buenos Aires",4248-9421,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VU_yObCrTscXBv-jf82Z_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.59814&pitch=0&thumbfov=100,,,"",
SUR,"Agencia Hudson","C. 159 5443, B1885 Guillermo E Hudson, Provincia de Buenos Aires",4215-4933,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SbAb9JNoRxKA7e8sQ4DRDQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.576595&pitch=0&thumbfov=100,,,"",
SUR,"Aeropuerto Ezeiza","Aeropuerto De Ezeiza",5480-4490,https://lh5.googleusercontent.com/p/AF1QipOZnXY5eEajH7UwIwfDY7i1weqiAMNJeg-33EVz=w426-h240-k-no,Z7,Metro,"Agencia",12
SUR,"Adrogue","Seguí Nº 880",4293-7808,SUC_Images/177.IMAGEN.032829.png,A3,Metro,"CDD",289
