ZONA,NOMBRE,DIRECCION,TELEFONO,IMAGEN_SUCURSAL,AREA_INTERNA,REGION_OPERATIVA,USO_DESTINO,METROS_CUADRADOS
EDIFICIOS,"Edificio French","BRANDSEN 2070",+54 9 11 2551 3565,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,CABA,Metro,"PAQUETERIA - OFICNA",10000
EDIFICIOS,"Central Operativa Mte. Grande","Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires",+54 9 11 2385-1891,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,,,"",
EDIFICIOS,"CDD Casa Central","Antart. Argentina y Cdro Py",,,A6,Metro,"CDD",634
NORTE,"William Morris","Conrado Villegas, Gral. Nº 1764/66",4452-4882,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g6UpS8l9C4kJ8xXUeDOOag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=125.246506&pitch=0&thumbfov=100,Z5,Metro,"Sucursal",52
NORTE,"Villa San Andres","D. Aleu Nº 3063/7",4713-9011,https://lh6.googleusercontent.com/proxy/Dzu2gBP7v3HHa-bFZClckuNbffch8qCKM0vpHA9EohCglahkHQjTERs1rJEKlHPa7yaVHzHMdp4ncUd2VbJksitY9_yILCJ7ZbPcMW37dTZeQhJfvMO_R14X_p_W-vX9DUk47g5vmWYOtejydmDb5HCQbO2CB72I7Fs-NbuAP5G3=w408-h306-k-no,Z5,Metro,"Sucursal",91
NORTE,"Villa Martelli","Laprida 3586",4709-5326,https://lh6.googleusercontent.com/proxy/D5rNcAmTJqW_p0AqEzxLKg2p2cyGlQltwhGKPhy0Xz47X0-Cj029mWw9uJiuX9SQD0DfkOLAJ4oMpU3eMtA59nhtD1m4WYj09a5gTZ-zsWAppxEWAem8gBTi_Ua9eEuDxO_bP9DCV_SDGLQ_mGCq1SVtQ0IQ4idXcWHWTaETTz1H=w408-h726-k-no,Z4,Metro,"Sucursal",260
NORTE,"Villa Lynch","Av. Rep. Del Líbano Nº 4041",4755-9531,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aEY51_REDnVGqpL5P_VVwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.8952&pitch=0&thumbfov=100,Z5,Metro,"Sucursal",140
NORTE,"Villa Loma Hermosa","Ruta Nacional N° 8 Nº 9718",4848-1772,https://lh3.googleusercontent.com/proxy/8AS9CF2vsRwkwhbYD3ieAO417I6UDkNVNKYPTO56lcBRVqxltOhhU8Ex-dJP9piLfbAOm0KGiHXF3jy2DoxwUYqIao6JifFYFCeI719pT5ANoMD13aD5axPrhaN4iB3Jqm7oSW_oGEKAwzJOAhww1gQ2Gq0uY-SXM2E7Aayetu15=w408-h306-k-no,Z5,Metro,"Sucursal",61
NORTE,"Villa Ballester","Vicente López Nº 3044",4767-6285,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K_Ou6KB_oZN4Sgu0XpHDFA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=90.548615&pitch=0&thumbfov=100,Z5,Metro,"Sucursal",200
NORTE,"Villa Adelina","Paraná Nº 6001",4708-0366,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zcaPcAhhUh2xm3apsVMHhg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.77728&pitch=0&thumbfov=100,A1,Metro,"CDD",230
NORTE,"Victoria","Presidente Perón Nº 2579",4745-0154,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E8pXsXiZ08f9Sjf0CFJPuQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=199.98686&pitch=0&thumbfov=100,Z4,Metro,"Sucursal",346
NORTE,"Vicente Lopez","Libertador Nº 1202",4791-1203,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hxo-J6dUD_xBb-y7-j8nYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.08406&pitch=0&thumbfov=100,Z4,Metro,"Sucursal",105
NORTE,"Unicenter","Paraná 3745, Martínez, Provincia de Buenos Aires",4717-2989,SUC_Images/106.IMAGEN.134712.jpg,,,"",
NORTE,"Tortuguitas","Tte. Gral. J.D. Perón 22",02320-490161,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1U9m84oSq3n5noKukzrunQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.83424&pitch=0&thumbfov=100,Z5,Metro,"Sucursal",74
NORTE,"Tigre","Av. Cazón Nº 1140",4749-9989,https://lh5.googleusercontent.com/p/AF1QipNd7sMK3w-Ja2FGaYP8ljLNu8HN_dLGaExtFaOI=w408-h306-k-no,Z4,Metro,"Sucursal",88
NORTE,"Soleil","Dr, Bernardo de Irigoyen 2647, B1609 Boulogne, Provincia de Buenos Aires",4710-4575,https://lh5.googleusercontent.com/p/AF1QipMYm06_Bd4dhoneuOCBi1HDdnHRqxlbLFqCkW7c=w408-h544-k-no,,,"",
NORTE,"Santos Lugares","Rodríguez Peña Nº 1846 PB",4757-0488,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_LQ9BfWs6fNNiSTGA7oL3Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=169.09877&pitch=0&thumbfov=100,Z5,Metro,"Sucursal",122
NORTE,"Santa Barbara","Corredor Bancalari - Benavidez 3901, B1617 Gral. Pacheco, Provincia de Buenos Aires",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KNYH7uHUacEtn82a213Reg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=25.05887&pitch=0&thumbfov=100,,,"",
NORTE,"San Miguel","Belgrano Nº 1374",4667-0003,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b48Uom8oXnzHV-7P2e3Wiw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=310.0047&pitch=0&thumbfov=100,A2,Metro,"CDD",343
NORTE,"San Martin","Intendente Campos 1951",4713-7129,SUC_Images/118.IMAGEN.001149.png,A2,Metro,"CDD / Jef. De Área",680
NORTE,"San Isidro","Alsina 98/102",4707-0471,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WBbDo7jya77k33_LNCu0Cw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=138.78648&pitch=0&thumbfov=100,A1,Metro,"CDD / Jef. De Área",318
NORTE,"San Fernando","Av. Juan Domingo Perón Nº 724",4890-1268,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JQZwWylpju3qRjZeYxhbgw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=221.86823&pitch=0&thumbfov=100,A1,Metro,"CDD",426
NORTE,"Puente Saavedra","Av. Maipú Nº 438",4791-3617,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_hQNdXWmAa9oiR5FsWyHEg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.04286&pitch=0&thumbfov=100,Z4,Metro,"Sucursal",118
NORTE,"Olivos","Av. Maipú Nº 2683/89",4711-5734,https://lh5.googleusercontent.com/p/AF1QipM6Gl-n6KZrUBsZYsK8G_PHCL3SRq1pUB6-lvr5=w408-h544-k-no,Z4,Metro,"Sucursal",240
NORTE,"Munro","Av. Vélez Sarsfield Nº 4319",4762-6865,https://lh5.googleusercontent.com/p/AF1QipMAQMRaQNPVVb-WLEYZP3VwoAzKIB7ohm6DuR3k=w426-h240-k-no,Z4,Metro,"Sucursal",270
NORTE,"Martinez","Av. Santa Fe Nº 2052",4733-3267,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TbtkA-8AvsFaRj48qiTX5Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=38.611115&pitch=0&thumbfov=100,Z4,Metro,"Sucursal",306
NORTE,"Los Polvorines","Rivadavia 2645",4663-2517,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pmfpuVKNTPJj9Ap8quQGWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=143.42415&pitch=0&thumbfov=100,A1,Metro,"CDD",187
NORTE,"José L. Suarez","Jose Leon Suarez, B1655 Buenos Aires, Provincia de Buenos Aires",4729-7023,https://lh5.googleusercontent.com/p/AF1QipO0N54R6Ftqw2Qir4f7JOsQbljVsql08bWoOg3c=w426-h240-k-no,,,"",
NORTE,"José C. Paz","Roque Sáenz Peña 5009",02320-422366,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gqiAYJ30mWvbala4Wi3aRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.6145&pitch=0&thumbfov=100,A2,Metro,"CDD",251
NORTE,"Independencia 2972/Carapachay","Independencia 2972, B1606DNB Carapachay, Provincia de Buenos Aires",,,,,"",
NORTE,"Hurlingham","Av. Vergara Nº 3443",4665-0484,https://lh5.googleusercontent.com/p/AF1QipOoiGb3XGhJykS10LUq3RqQZK22UMrC2FFAUEH0=w408-h306-k-no,A2,Metro,"CDD",319
NORTE,"Grand Bourg","Francisco Seguí Nº 1722",02320-480196,SUC_Images/114.IMAGEN.000451.png,Z5,Metro,"Sucursal",110
NORTE,"General Pacheco","Hipólito Yrigoyen 214",4740-1176,SUC_Images/96.IMAGEN.195233.png,A1,Metro,"CDD",322
NORTE,"Florida","Av. San Martin Nº 2849",4797-2794,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ag43IIYiXj74tCETtkBOyQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=331.7589&pitch=0&thumbfov=100,Z4,Metro,"Sucursal",168
NORTE,"Don Torcuato","Av. Alvear Nº 1656 (Ruta 202)",4741-3120,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mqQxiObULiH-lXkkO1iCTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=145.08148&pitch=0&thumbfov=100,A1,Metro,"CDD / SUC",220
NORTE,"Del Viso","Av. Madero Nº 1395",02320-470441,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BJ2rgq21ikdwN76saLF_QA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=116.09998&pitch=0&thumbfov=100,Z5,Metro,"Sucursal",110
NORTE,"CDP Vte. Lopez/Pelliza 3780","Mariano Pelliza 3750, B1636FER Olivos, Provincia de Buenos Aires",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gID75-35HrlbCpGAW6m6UQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=146.45749&pitch=0&thumbfov=100,,,"",
NORTE,"Cdd Zarate","Dr. Félix Pagola 35, B2800 Zárate, Provincia de Buenos Aires",(03487)422153,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CPG_syK4z8G0wEMuQkq52g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=84.09735&pitch=0&thumbfov=100,,,"",
NORTE,"CDD Villa Ballester","Vicente López Nº 3044",4767-6285,https://lh5.googleusercontent.com/p/AF1QipOUI-r4mjUthpEO36SDKWYexyJnEOdoiwjQ-ONR=w426-h240-k-no,Z5,Metro,"Sucursal",200
NORTE,"CDD Villa Adelina","Paraná Nº 6001",4763-0104,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zcaPcAhhUh2xm3apsVMHhg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.77728&pitch=0&thumbfov=100,A1,Metro,"CDD",230
NORTE,"CDD Vicente López","Libertador Nº 1202",4718-1731/1604,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gID75-35HrlbCpGAW6m6UQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=146.45749&pitch=0&thumbfov=100,Z4,Metro,"Sucursal",105
